date,customer_id,loan_id,loan_amount,cumulative_repayment,cumulative_interest,cumulative_paid,outstanding_balance,days_in_arrears,status,utilization (%),DPD_bucket,risk_band
2025-09-01,C001,L001,18881,351,35,316,18565,0,current,98.33,Current,High
2025-09-02,C001,L001,18881,686,68,618,18263,0,current,96.73,Current,High
2025-09-03,C001,L001,18881,990,98,892,17989,0,current,95.28,Current,High
2025-09-04,C001,L001,18881,990,98,892,17989,1,late,95.28,1–30 DPD,High
2025-09-05,C001,L001,18881,990,98,892,17989,2,late,95.28,1–30 DPD,High
2025-09-06,C001,L001,18881,1279,126,1153,17728,1,late,93.89,1–30 DPD,High
2025-09-07,C001,L001,18881,1442,142,1300,17581,0,current,93.11,Current,High
2025-09-08,C001,L001,18881,1880,185,1695,17186,0,current,91.02,Current,High
2025-09-09,C001,L001,18881,2069,203,1866,17015,0,current,90.12,Current,High
2025-09-10,C001,L001,18881,2069,203,1866,17015,1,late,90.12,1–30 DPD,High
2025-09-11,C001,L001,18881,2485,244,2241,16640,0,current,88.13,Current,Medium
2025-09-12,C001,L001,18881,2746,270,2476,16405,0,current,86.89,Current,Medium
2025-09-13,C001,L001,18881,2869,282,2587,16294,0,current,86.3,Current,Medium
2025-09-14,C001,L001,18881,3049,300,2749,16132,0,current,85.44,Current,Medium
2025-09-15,C001,L001,18881,3049,300,2749,16132,1,late,85.44,1–30 DPD,Medium
2025-09-16,C001,L001,18881,3049,300,2749,16132,2,late,85.44,1–30 DPD,Medium
2025-09-17,C001,L001,18881,3241,319,2922,15959,1,late,84.52,1–30 DPD,Medium
2025-09-18,C001,L001,18881,3241,319,2922,15959,2,late,84.52,1–30 DPD,Medium
2025-09-19,C001,L001,18881,3241,319,2922,15959,3,late,84.52,1–30 DPD,Medium
2025-09-20,C001,L001,18881,3480,342,3138,15743,2,late,83.38,1–30 DPD,Medium
2025-09-21,C001,L001,18881,3480,342,3138,15743,3,late,83.38,1–30 DPD,Medium
2025-09-22,C001,L001,18881,3706,364,3342,15539,2,late,82.3,1–30 DPD,Medium
2025-09-23,C001,L001,18881,3970,390,3580,15301,1,late,81.04,1–30 DPD,Medium
2025-09-24,C001,L001,18881,3970,390,3580,15301,2,late,81.04,1–30 DPD,Medium
2025-09-25,C001,L001,18881,3970,390,3580,15301,3,late,81.04,1–30 DPD,Medium
2025-09-26,C001,L001,18881,3970,390,3580,15301,4,late,81.04,1–30 DPD,Medium
2025-09-27,C001,L001,18881,4258,418,3840,15041,3,late,79.66,1–30 DPD,Medium
2025-09-28,C001,L001,18881,4618,454,4164,14717,2,late,77.95,1–30 DPD,Medium
2025-09-29,C001,L001,18881,4957,487,4470,14411,1,late,76.33,1–30 DPD,Medium
2025-09-30,C001,L001,18881,5119,503,4616,14265,0,current,75.55,Current,Medium
2025-10-01,C001,L001,18881,5119,503,4616,14265,1,late,75.55,1–30 DPD,Medium
2025-10-02,C001,L001,18881,5119,503,4616,14265,2,late,75.55,1–30 DPD,Medium
2025-10-03,C001,L001,18881,5619,553,5066,13815,1,late,73.17,1–30 DPD,Medium
2025-10-04,C001,L001,18881,5984,589,5395,13486,0,current,71.43,Current,Medium
2025-10-05,C001,L001,18881,5984,589,5395,13486,1,late,71.43,1–30 DPD,Medium
2025-10-06,C001,L001,18881,5984,589,5395,13486,2,late,71.43,1–30 DPD,Medium
2025-10-07,C001,L001,18881,6479,638,5841,13040,1,late,69.06,1–30 DPD,Low
2025-10-08,C001,L001,18881,6887,678,6209,12672,0,current,67.12,Current,Low
2025-10-09,C001,L001,18881,6887,678,6209,12672,1,late,67.12,1–30 DPD,Low
2025-10-10,C001,L001,18881,6887,678,6209,12672,2,late,67.12,1–30 DPD,Low
2025-10-11,C001,L001,18881,6992,688,6304,12577,1,late,66.61,1–30 DPD,Low
2025-10-12,C001,L001,18881,7413,730,6683,12198,0,current,64.6,Current,Low
2025-10-13,C001,L001,18881,7785,767,7018,11863,0,current,62.83,Current,Low
2025-10-14,C001,L001,18881,8034,791,7243,11638,0,current,61.64,Current,Low
